"enterprise","record_number","msa","perc_minority","tract_income_ratio","borrower_income_ratio","loan_purpose","federal_guarantee","borrower_race","co_borrower_race","borrower_gender","co_borrower_gender","num_units","affordability","year","type"
1,30,1,2,3,3,8,4,9,9,1,2,1,4,2014,0
1,903,0,2,2,9,2,4,9,9,1,4,1,9,2009,1
2,89,1,2,3,3,1,4,5,5,1,2,1,4,2015,1
1,541,1,2,2,3,8,4,5,5,1,2,1,4,2009,0
2,938,1,3,3,3,1,4,7,9,1,5,1,4,2012,0
1,91,0,1,3,3,1,4,2,5,1,2,1,4,2011,0
1,106,1,1,3,2,2,4,5,9,2,4,1,4,2010,1
1,700,1,2,3,1,2,4,9,9,1,4,1,3,2009,1
1,133,1,3,1,3,1,4,5,9,1,4,1,4,2011,1
2,46,0,1,2,3,1,4,9,9,3,3,1,9,2008,0
2,517,1,2,2,3,8,4,5,5,1,2,1,4,2013,0
1,643,1,2,3,3,2,4,5,5,1,2,1,4,2009,1
2,426,1,2,2,3,1,4,9,9,3,3,1,4,2015,1
1,65,1,3,1,1,1,4,2,9,2,4,1,2,2008,0
1,597,1,3,3,3,2,4,7,9,2,4,1,4,2012,1
1,802,1,1,2,1,8,4,5,5,1,2,1,3,2010,0
1,757,1,1,3,3,1,4,5,9,1,4,1,4,2015,0
1,296,1,1,2,1,9,3,5,9,2,4,1,3,2008,0
1,23,1,1,3,1,8,4,5,9,2,4,1,3,2009,0
2,25,1,1,2,1,1,1,9,9,9,5,1,3,2011,1
1,954,1,3,1,2,2,4,7,9,1,4,1,1,2009,1
2,709,1,2,2,3,8,4,5,5,1,2,1,4,2015,0
1,235,1,2,3,3,8,4,2,2,1,2,1,4,2015,0
1,465,1,2,2,1,8,4,9,9,1,4,1,3,2008,0
2,318,1,2,3,3,2,4,5,5,1,2,1,4,2010,1
2,126,1,2,3,3,1,4,5,9,2,5,1,4,2015,0
1,989,1,1,3,3,2,4,5,5,1,2,1,4,2012,1
1,1,1,3,3,3,8,4,3,9,1,4,1,4,2011,0
2,754,0,1,2,3,1,4,2,2,1,2,1,4,2012,1
2,159,1,3,2,2,2,4,5,5,1,2,1,9,2009,1
1,359,0,1,2,3,8,4,5,5,1,2,1,4,2013,0
2,588,0,1,2,1,8,4,5,9,1,5,1,3,2010,0
2,328,1,3,1,2,8,4,7,9,1,5,1,1,2015,0
1,680,1,3,2,2,1,4,9,9,3,4,1,4,2014,0
1,38,1,2,2,3,2,4,5,9,2,4,1,4,2013,1
1,956,1,2,2,3,8,4,9,9,1,4,1,4,2015,0
2,693,1,1,3,3,2,4,5,5,1,2,1,4,2010,1
1,874,1,2,2,3,8,4,9,9,3,4,1,4,2008,0
1,428,1,1,3,3,8,4,9,9,3,4,1,4,2013,0
1,702,1,2,2,3,8,4,5,5,1,2,1,4,2012,0
2,515,1,1,3,3,2,4,5,5,1,2,1,4,2011,1
2,595,1,2,2,1,1,4,7,9,1,5,1,3,2008,0
1,724,1,3,2,3,2,4,7,9,2,4,1,4,2013,1
1,107,1,1,3,3,2,4,5,5,1,2,1,4,2010,1
1,432,1,2,3,3,8,4,5,9,1,4,1,4,2013,0
2,47,1,2,2,3,8,4,5,5,1,2,1,4,2013,0
1,308,0,1,2,3,2,4,5,5,1,2,1,4,2010,1
1,969,1,1,2,1,2,4,5,9,1,4,1,3,2014,1
1,550,1,3,3,3,1,4,9,9,3,4,1,4,2008,0
2,41,1,2,2,2,8,4,5,9,1,5,1,4,2010,0
1,259,1,1,3,3,8,4,9,9,3,4,1,4,2010,0
1,275,1,1,3,3,1,4,5,9,1,4,1,4,2014,1
1,126,1,1,3,3,8,4,5,5,1,2,1,4,2014,0
1,194,1,2,3,3,2,4,5,9,1,4,1,4,2009,1
1,483,1,2,2,3,8,4,5,5,1,2,1,4,2012,0
1,578,1,2,3,3,8,4,5,5,1,2,1,4,2010,0
1,590,1,3,2,3,2,4,5,9,2,4,1,4,2015,1
2,489,1,2,2,3,8,4,5,5,1,2,1,9,2009,0
1,549,1,2,3,3,2,4,5,9,1,4,1,4,2012,1
2,40,1,3,2,3,1,4,5,5,1,2,1,9,2008,1
1,662,1,3,1,1,2,4,2,9,2,4,1,2,2015,1
1,939,1,1,3,3,2,4,5,5,1,2,1,4,2011,1
1,776,1,3,3,3,2,4,2,2,1,2,1,4,2012,1
1,333,1,3,3,3,1,4,5,9,1,4,1,4,2012,0
1,899,1,2,3,3,8,4,9,9,1,2,1,4,2011,0
2,758,1,2,1,2,1,4,5,9,1,5,1,1,2014,0
1,221,1,1,3,3,8,4,5,5,1,2,1,4,2009,0
1,708,1,2,2,2,2,4,9,9,3,3,1,4,2012,1
1,652,1,1,3,2,2,4,9,9,3,3,1,4,2011,1
1,932,1,2,3,2,2,4,5,9,2,4,1,4,2010,1
1,499,1,1,3,3,8,4,5,9,2,4,1,4,2011,0
1,915,1,1,3,3,1,4,5,9,2,4,1,4,2008,1
1,650,1,3,2,3,2,4,9,9,1,4,1,4,2008,1
1,655,1,2,2,3,8,4,1,9,1,4,1,4,2015,0
1,387,1,1,2,3,1,4,5,9,2,4,1,4,2008,1
1,755,1,3,1,3,1,4,5,9,1,4,1,4,2009,0
2,991,0,1,2,3,1,4,5,5,1,2,1,9,2009,0
1,459,1,1,3,3,2,4,9,9,3,3,1,4,2009,1
1,104,1,1,2,3,8,4,5,5,1,2,1,4,2010,0
2,120,1,2,1,2,2,4,9,9,3,5,1,1,2014,1
2,962,1,1,3,3,2,4,5,5,1,2,1,4,2013,1
2,998,1,3,2,3,2,4,2,9,2,5,2,4,2011,1
1,204,1,2,1,3,1,4,5,5,1,2,1,4,2013,0
1,791,1,1,3,1,8,4,5,5,1,2,1,3,2011,0
1,778,0,1,2,2,1,4,5,9,1,4,1,4,2012,0
1,298,1,1,3,3,8,4,5,5,1,2,1,4,2010,0
1,643,1,3,2,2,8,4,5,9,2,4,1,4,2009,0
2,663,1,2,2,2,1,4,5,9,1,5,1,9,2008,1
1,95,1,2,3,3,1,4,5,9,1,4,1,4,2015,1
2,243,1,2,3,2,1,4,5,9,2,5,1,4,2015,1
1,681,1,2,3,3,8,4,2,9,1,4,1,4,2013,0
1,632,1,2,3,2,1,4,5,9,2,4,1,4,2011,1
1,205,1,2,3,3,2,4,5,9,2,4,1,4,2010,1
2,13,1,2,3,3,2,4,2,2,1,2,1,4,2013,1
2,583,1,1,2,1,8,4,9,9,1,2,1,3,2009,0
1,767,1,3,3,3,1,4,5,9,2,4,1,4,2013,1
1,757,1,2,2,3,1,4,2,2,1,2,1,4,2012,0
1,213,1,2,3,3,1,4,5,9,2,4,1,4,2014,1
1,71,0,3,2,3,1,4,7,9,1,4,1,4,2012,0
1,253,1,2,2,1,1,4,5,9,1,4,1,3,2011,1
1,488,1,1,3,3,2,4,5,5,1,2,1,4,2009,1
1,352,0,1,2,2,2,4,5,9,1,4,1,4,2009,1
2,735,1,1,3,3,8,4,5,9,1,5,1,4,2013,0
1,12,1,2,1,2,2,4,5,9,1,4,1,1,2015,1
2,539,1,1,3,3,8,4,9,9,1,5,1,4,2015,0
1,596,1,3,2,3,1,4,9,9,1,2,1,4,2015,0
2,843,0,3,2,3,2,4,6,6,2,1,1,4,2015,1
2,365,1,2,3,3,1,4,5,9,1,5,1,9,2009,0
